Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type,Parsed Redshift
13649,2012-08-15 05:40:11.000,"GRB 120815A: VLT/X-shooter redshiftD. Malesani (DARK/NBI), S. Schulze (PUC and MCSS), A. de Ugarte Postigo 
(IAA/CSIC and DARK/NBI), D. Xu (WIS), V. D'Elia (INAF/Roma and 
ASI/ASDC), J. P. U. Fynbo (DARK/NBI), N. R. Tanvir (Univ. Leicester), 
report on behalf of a larger collaboration:

We observed the field of GRB 120815A (Pagani et al., GCN 13645) with the 
VLT/X-shooter spectrograph. We confirm the presence of a bright, 
uncatalogued object consistent with the GROND position (Sudilovsky et 
al., GCN 13648). From the acquisition images, we measure R = 18.9 for 
the afterglow at an epoch of 1.67 hr after the GRB (calibrated to nearby 
USNO stars).

Our spectra cover the wavelength range 3000-25000 AA, and were taken 
starting on 2012 Aug 15.163 UT (1.69 hr after the GRB), for a total of 
40 min exposure. Continuum from the afterglow is detected with high S/N 
in all of the UVB, VIS, and NIR arms.

The spectrum shows a wide trough and a multitude of strong absorption 
lines, which we interpret as due to a DLA and metal transitions of N V, 
S II, Si II, O I, C IV, Si IV, Fe II, Al II, Al III, Mn II, Mg II, Mg I, 
among others, at a common redshift z = 2.358. At the same redshift, we 
also detect fine-structure lines of Ni II and Fe II, thus confirming 
conclusively that this is the GRB redshift. We also detect intervening 
systems at z = 1.539, 1.693, and 2.00. In particular, the system at z = 
1.539 displays exceptionally strong Mg II, Mg I, and Fe II absorption.

We acknowledge the expert support of the VLT observing staff at Paranal, 
in particular Maja Vuckovic, Marcelo Lopez, and Thomas Rivinius.
We also thank Alex Kann for discussion on the afterglow identification.

[GCN OPS NOTE(15aug12): Per author's request, ML and TR were added to the
last paragraph.]",2.358,GRB 120815A,VLT/X-shooter,Spectroscopic,2.358
13723,2012-09-07 16:35:20.000,"GRB 120907A: Spectroscopy from OSIRIS/GTCR. Sanchez-Ramirez, J. Gorosabel (IAA-CSIC), A. de Ugarte Postigo 
(IAA-CSIC, DARK/NBI) and J.M. Gonzalez Perez (GTC) report 
on behalf of a larger collaboration:

We have obtained spectroscopy of the afterglow of GRB 120907A 
(Racusin et al. GCN 13716) with OSIRIS/ GTC (La Palma, Spain) on 
Sep 7.20647-7.23893 UT (4.55-5.33 hours post GRB). The observation 
consisted of 3x900s exposures using the R1000R grating, covering the 
range from 5100 to 10000 A with a resolution of ~1100.

In the combined spectrum we detect several absorption features 
corresponding to FeII, MgII, MgI and CaII at a common redshift of z=0.970, 
which we identify as the redshift of the GRB.

We acknowledge the excellent support of the GTC staff.",0.970,GRB 120907A,OSIRIS/GTC,Spectroscopic,0.97
13810,2012-09-23 21:23:29.000,"GRB 120922A: GROND photometric redshiftF. Knust (MPE Garching), T. Kruehler (DARK/NBI), S. Klose (TLS Tautenburg) and J. Greiner (MPE Garching) report on behalf of the GROND team:

We report on further analysis of the GROND (Greiner et al. 2008, PASP 120, 405) optical/NIR imaging of the afterglow (Knust et al. GCN 13795, Klotz et al., GCN 13799, Yershov et al., GCN 13803, Kuin et al., GCN 13808) of GRB 120922A (Yershov et al., GCN 13793). Tying our photometric solution to field stars from the SDSS in the optical filters and 2MASS in the NIR, we derive the following AB magnitudes centered at a midtime of 00:01 UTC on September 23 (approx 1.5 hrs after the trigger):

g' = 20.53 +/- 0.05
r' = 19.69 +/- 0.04
i' = 19.44 +/- 0.04
z' = 19.28 +/- 0.04 
J = 18.92 +/- 0.06
H = 18.79 +/- 0.07
K = 18.63 +/- 0.10

After correcting these magnitudes for the expected Galactic foreground extinction corresponding to a reddening of E_B-V = 0.15 mag (Schlegel et al. 1998), the SED is well fit with a simple power law of spectral index \beta = 0.5 +/- 0.2 and no strong evidence for host-intrinsic reddening. The significant drop in flux in the g'-band suggests a photometric redshift of 3.1 +/- 0.2, consistent with the lack of detection in the bluer UVOT filters (Kuin et al., GCN 13808).",3.1 +/- 0.2,GRB 120922A,GROND,Photometric,3.1
13890,2012-10-24 07:10:59.000,"GRB 121024A: VLT/X-shooter redshiftN. R. Tanvir (U. Leicester), J. P. U. Fynbo (DARK/NBI), A. Melandri (INAF-OAB), 
A. J. Levan (U. Warwick), D. Xu (WIS), V. D'Elia (ASDC) report on behalf of 
the X-shooter GTO collaboration:

We observed the afterglow of GRB 121024A (Pagani et al. GCN 13886) with the
X-shooter spectrograph at the VLT. Observations began at 04:45 UT, approximately
1.8 hours after the initial detection of the burst. The afterglow is well detected in
the acquisition image, and in the resulting spectrum we see a strong, broad 
damped-Lya absorption feature at ~4000A, combined with numerous narrow metal 
lines of CIV, SiII, SiIV, FeII, SII and AlII, as well as fine-structure lines associated 
with SiII*. These point to a common redshift of z=2.298 for GRB 121024A.

We thank Maja Vuckovic, Giovanni Carraro, Marcelo Lopez and Felipe Gaete
for their assistance in obtaining these observations, and Gianni Marconi
and Gerry Gilmore for kindly allowing the ToO to be performed during their
visitor mode run.",2.298,GRB 121024A,VLT,Spectroscopic,2.298
14009,2012-11-28 07:46:48.000,"GRB 121128A - Gemini North redshiftN. R. Tanvir (U. Leicester), A. J. Levan (U. Warwick), T.  Matulonis (Gemini)
report on behalf of a larger collaboration:

We observed the counterpart of GRB 121128A (Oates et al. GCN 14007;
Japelj et al. GCN 14008) with the GMOS-N spectrograph at Gemini-North,
beginning at Nov 28 2012 06:06 UT, approximately 1hr post-burst.
The afterglow is well detected and our provisional reduction shows a
series of absorption lines of AlII, FeII, CIV, SiII, SiIV with a common 
redshift of z=2.20.",z=2.20,GRB 121128A,Gemini-North,Spectroscopic,2.2
14031,2012-12-02 04:20:52.000,"GRB 121201A: GROND afterglow observations and photometric redshiftT. Kruehler (DARK/NBI), S. Klose (TLS Tautenburg) and J. Greiner (MPE Garching) 
report on behalf of the GROND team:

We observed the field of the Swift GRB 121201A (Yershov et al., GCN 14025) 
simultaneously in g'r'i'z'JHK with GROND (Greiner et al. 2008, PASP 120, 405) 
mounted at the 2.2m MPI/ESO telescope at La Silla Observatory (Chile).

Observations started on December 02, 2012, 00:28 UT which is roughly
12.0 hr after the trigger. We clearly detect the afterglow of 
GRB 121201A (Yershov et al., GCN 14025) in the optical filters, 
but not in the NIR bands. Based on stacked images at
a mid-time of 01:05 UT with an effective integration time of 25 min
in g'r'i'z' and 20 min in JHKs, we estimate preliminary AB magnitudes and 
upper limits of:

g' = 24.2 +- 0.2 
r' = 23.0 +- 0.1
i' = 22.7 +- 0.1
z' = 22.5 +- 0.1
J > 21.5
H > 21.0
Ks > 19.9

These magnitudes and upper limits are calibrated against SDSS standards 
in the optical, and 2MASS field stars in the NIR bands. After correcting 
for the Galactic extinction corresponding to a reddening of E(B-V)=0.01
(Schlegel et al. 1998),  a fit to this SED returns a photometric redshift of 3.6 +0.2 -0.3.",3.6 +0.2 -0.3,GRB 121201A,MPI/ESO 2.2m Telescope at La Silla Observatory (Chile),Photometric,
14035,2012-12-02 05:43:10.000,"GRB 121201A: X-shooter redshiftR. Sanchez-Ramirez (IAA-CSIC), A. de Ugarte Postigo (IAA-CSIC, DARK/NBI), 
T. Kruehler (DARK/NBI), B. Milvang-Jensen (DARK/NBI), J.P.U. Fynbo (DARK/NBI), 
N. Tanvir (U. Leicester), D. Malesani (DARK/NBI), S. Schulze (PUC & MCSS), 
L. Kaper (U. Amsterdam), H. Flores (Obs. Paris) report on behalf of the X-shooter 
GTO GRB collaboration,

We observed the afterglow of GRB121201A (Yeshov et al., GCN 14025, Kruehler 
et al. GCN 14031) using the X-shooter spectrograph on the VLT (Paranal Observatory, 
Chile). Observations consisted of 4x1200s exposures in the UVB and VIS arms and 
8x600s exposures in the NIR, and started on 2 December 1:17 UT (12.87 hr after the 
burst).

In a preliminary reduction we detect Ly-alpha in emission as well as several 
absorption features (SiIV, CIV, AlII, AlIII) at a common redshift of z=3.385, which we 
identify as the redshift of the GRB.

We acknowledge the excellent support of the VLT staff, in particular G. Carraro.",z=3.385,GRB121201A,"VLT (Paranal Observatory, Chile)",Spectroscopic,3.385
14059,2012-12-11 18:38:05.000,"GRB 121211A: Keck/LRIS redshiftD. A. Perley (Caltech), J. X. Prochaska (UCO/Lick), and A. N. Morgan (UC 
Berkeley) report:

We slewed with the Keck I telescope (+LRIS) to the location of GRB 
121211A (Mangano et al., GCN 14057) immediately following the GCN 
notice.   The optical transient (Mangano et al.; Japelj et al., GCN 
14058) was identified on the guider camera and longslit exposures began 
at 14:01 UT, 14 minutes after the GRB trigger.  After a single short 
observation in low resolution we acquired 2x860s exposures on the blue 
and red side.  The spectral range extends from 3150-5630 and 5790-7440 
Angstroms.

We identify FeII (2344, 2374, 2382, 2586, 2600) and possible FeII* and 
MnII at a redshift of z=1.023, as well as a marginal detection of MgII 
(2796, 2804) at the same redshift using the short initial exposure, 
which covers the dichroic gap.   We suggest this as the redshift of GRB 
121211A.",z=1.023,GRB 121211A,Keck I telescope (+LRIS),Spectroscopic,1.023
14095,2012-12-18 12:28:55.000,"GRB 121217A theoretical estimate of redshift and of supernova occurrenceR. Ruffini, L. Izzo, G.B. Pisani, C.L. Bianco, on behalf of a larger collaboration, report:

GRB 121217A, following our theoretical considerations based on the Induced
Gravitational Collapse scenario for GRBs-SNe, allows also for a different
solution with a cosmological redshift of z=0.8 (+- 0.1). We base this
result on a preliminary analysis of the superposition of the late X-ray
afterglow emission, considering GRB 090618 as the prototype of the class.
We have considered the first 75 ks of the X-ray afterglow light curve of
GRB 121217A in this preliminary analysis.
More details on the model will appear soon on the arXiv.

We also predict a presence of a SN emerging after about 18 (+- 3) days
from the GRB trigger, e.g. in the first days of January 2013.
Assuming an interstellar extinction obtained from the Schlegel et al.
(1998) extinction map and a supernova emission similar to the 1998bw one,
we estimate an observed magnitude of +24.5 (+- 0.5) in the J filter. We
further notice that, given the galactic latitude less than 5 deg (-4.89
deg), the calculated extinction value can differ at least of 1 mag.

Follow-up photometric and possibly spectroscopical observations are
strongly requested.",0.8 (+- 0.1),GRB 121217A,No Information,Photometric,
14120,2012-12-29 14:38:02.000,"GRB 121229A: VLT/X-shooter redshiftJ. P. U. Fynbo (DARK/NBI), N. R.  Tanvir (U. Leicester), V. D'Elia
(ASDC, INAF), A. de Ugarte Postigo (IAA-CSIC and DARK/NBI),
D. Malesani (DARK), O. E. Hartoog (Uva, NL), D. Xu (DARK), H. Flores
(Obs. Paris), A. J. Levan (U. Warwick), B. Milvang-Jensen (DARK/NBI)

We observed the field of GRB 121229A (Sonbas et al., GCN 14115; Varela
et al., GCN 14117) with the ESO VLT equipped with the X-shooter
spectrograph. Observations started at 07:00 UT on 2012-12-29 (2 hr
after the BAT trigger), for a total exposure time of ~30 min in each
of the UVB, VIS, and NIR arms, covering the wavelength range
3000-21000A.

The spectrum exhibits two relatively broad troughs (centered at ~ 3800
and 4500 A) which we interpreted as Lyman-beta and -alpha features,
respectively, at z=2.707. We measured the HI column density,
logN(HI)~21.7, from the Lyman-alpha feature. At this redshift there
are tentative indications of other metal absorption features, although
they are weak and we have yet to establish their significance. The
lack of strong resonance metal lines, together with the low X-ray
absorption (Sonbas et al., GCN 14115), suggests a low metallicity. We
also report a tentative evidence for an intervening MgII absorber at
z=1.658

We acknowledge the excellent support of the ESO observing staff, in
particular Maja Vu?kovi?.


----------------------------------------------------------------
This message was sent using IMP, the Internet Messaging Program.",2.707,GRB 121229A,ESO VLT,Spectroscopic,2.707
14225,2013-02-17 01:46:52.000,"GRB 120118B: host observations and redshift determinationDaniele Malesani, Thomas Kruehler (DARK/NBI), Daniel Perley (Caltech), 
Johan P. U. Fynbo, Dong Xu, Bo Milvang-Jensen (DARK/NBI), Paolo Goldoni 
(APC, CEA/Irfu), Steve Schulze (PUC and MCSS), report on behalf of the 
X-shooter GTO GRB collaboration:

We observed the field of GRB 120118B (Littlejohns et al., GCN 12852) 
with the Keck I telescope located on Mauna Kea. Observations were 
carried out on 2013 Feb 10 (389 days after the GRB), using the LRIS 
instrument, simultaneously in the g and I bands, for a total exposure 
time of 750 and 720 s, respectively. Consistent with the latest XRT 
position (Osborne et al. GCN 12857; see also 
http://www.swift.ac.uk/xrt_positions/), we detect a bright, slightly 
extended object (I = 23.8, Vega), which we consider to be the GRB host 
galaxy. Its coordinates are (J2000):

RA = 08:19:29.047
Dec = -07:11:05.14

This position is consistent with that of the tentative near-infrared 
counterpart reported by D'Avanzo & Palazzi (GCN 12870).

A spectrum of this source was taken on 2013 Feb 13 with the ESO VLT 
equipped with the X-shooter spectrograph, covering the wavelength range 
3000-20500 AA. The seeing was 0.6"". In the NIR arm, we detect several 
emission lines, interpreted as [O III] (5007), [Ne III] (3869), and 
hints for [O III] (4959) and [O II] (3727) at a common redshift z = 
2.943. The weakness/lack of other prominent lines usually seen in GRB 
host spectra is readily explained by their location in non-favorable 
parts of the spectrum. In the UVB arm, the host continuum is detected 
down to ~4750 AA, which corresponds to the onset of the Lyman alpha 
forest at z = 2.943.

At z = 2.94 the host is a fairly luminous galaxy at 2000  rest-frame, 
roughly 0.5 mag brighter than L* at that redshift (e.g. Gabasch et al. 
2004, A&A, 421, 41). The properties of this object are akin to those of 
Lyman-break galaxies.

We acknowledge excellent support from the observing staff at Mauna Kea 
and Paranal, in particular Cedric Ledoux and Andrea Mehner.",2.943,GRB 120118B,Keck I,Spectroscopic,2.943
14264,2013-03-06 17:46:42.000,"GRB 100615A: HST host detection and X-shooter redshiftT. Kruehler, D. Malesani, D. Xu, J. P. U. Fynbo (DARK/NBI), A. J. Levan
(U. Warwick), N. R. Tanvir (U. Leicester), V. D'Elia (ASDC, INAF) and 
D. Perley (Caltech) report on behalf of the X-shooter GTO GRB collaboration:

The field of GRB 100615A (Swift trigger 424733, D'Elia et al., GCN 10841) 
was observed with the Hubble Space Telescope and WFC3
(filters F606W and F160W) under proposal ID 11840 (PI: A. J. Levan).
Observations were carried out on 2010 Dec 16 (154 days after the GRB),
for a total exposure time of 1128 s and 1208 s, respectively.
In the HST images, we detect a single, resolved object (F160W = 24.1 AB mag)
consistent with the Chandra X-ray position (Butler et al., GCN 10915),
which we consider to be the GRB host galaxy. 

Its coordinates are (J2000):

RA = 11:48:49.34
Dec = -19:28:51.8

A spectrum of this source was taken on 2013 Mar 05 with the ESO VLT
equipped with the X-shooter spectrograph, covering the wavelength range
3000-20500 AA. The seeing was 0.8"". In the VIS and NIR arm,
we detect several emission lines, interpreted as the doublet of
[O II](3726, 3729), [Ne III](3869),  [O III](4959), [O III](5007) and Halpha 
at a common redshift of z = 1.398.

At this redshift, the afterglow data imply a very high host exinction
along the GRB sight-line (A_V > 10-15, see D'Elia & Stratta 2011, A&A, 532, A48,
their Figure 4). The intrinsic soft X-ray absorption column measured
from Swift/XRT data (Margutti et al., GCN 10847) at z = 1.398 is
N_{H,X} = 1.07 (+0.13, -0.12) x 10^23 cm^-2. This is similarly at the high end
of measured column densities, even among dark bursts
(e.g., Kruehler et al., 2012, ApJ, 758, 46, their Figure 5). In
contrast, the host of GRB 100615A is rather blue (F606W - F160W \sim 1
AB mag) and does not show obvious signs of heavy dust content.

We acknowledge excellent support from the observing staff at Paranal,
in particular Giacomo Beccari and Emanuela Pompei.",1.398,GRB 100615A,ESO VLT,Spectroscopic,1.398
1428,2002-06-12 11:38:15.000,"GRB 020531/Candidate RedshiftS. R. Kulkarni, R. Goodrich, E. Berger, D. W. Fox, J. S. Bloom and
C. A. Blake report, on behalf of the Caltech-NRAO-CARA collaboration:

N. Butler et al. (GCN 1426) suggested that a fading X-ray source, CXOU
J151455.8-192454 is the afterglow of the short hard burst GRB 020531
(Hurley et al. GCN 1407).  Fox, Kulkarni and Weissman (GCN 1427)
identified an object within 1 arcsecond of CXOU J151455.8-192454 and
suggested that the object is the host galaxy of GRB 020531. 

On June 12, 2002 (UT) we undertook imaging and spectroscopic
observations with the Echelle Spectrograph & Imager (ESI) on Keck II.
With a seeing of 0.6 arcseconds in the R and I bands we confirm that
the candidate object is indeed extended, with a size of about 1
arcsecond. Next, we obtained four 1800-s spectroscopic exposures
(Echelle mode) and found two features: a broad feature (Gaussian full
width at half maximum of 11.6 A) centered on 7455 Angstrom (A) and a
fainter feature centered around 9725 A.  We suggest that the broad
feature is the  [O II] 3728.8/3726.0 doublet with an intrinsic velocity
dispersion of 330 km/s and the fainter feature is Hbeta. If these
identifications are correct then the redshift of the candidate host
galaxy is 1.00.

The fluence and peak flux of GRB 020531 over the energy range 50 to 300
keV are 8E-7 erg cm^-2 and 6.4E-7 erg cm^-2 s^-1, respectively (Lamb et
al. 2002; astro-ph/0206151). Assuming, H0=65 km/s/Mpc and flat universe
with Omega-m=0.3, the isotropic energy release (without any k
correction) is 2.4E51 erg and 3.9E51 erg/s.

Lamb et al. (ibid) argue that GRB 020531 is a burst which belongs to
the short duration group. The isotropic energy release of this short
burst is not different from that of the true energy release (i.e.
after accounting for the opening angles of the jets; see Frail et al.
2001, ApJ 562, L55) inferred for the long duration bursts.",1.00,GRB 020531,Keck II,Spectroscopic,1.0
14291,2013-03-12 16:07:54.000,"GRB 100424A: Keck host detection and VLT/X-shooter redshiftD. Malesani, D. Xu, J. P. U. Fynbo, T. Kruehler (DARK/NBI), D. A. Perley 
(Caltech), S. D. Vergani (CNRS/GEPI), P. Goldoni (APC/IRFU-CEA), report 
on behalf of the GRB GTO X-shooter collaboration:

We observed the field of GRB 100424A (Hoversten et al., GCN 10667) using 
the Keck-I telescope equipped with the LRIS instrument. Observations 
were carried out on 2010 July 8.2 UT (74.5 days after the burst), 
simultaneously in the g and I bands, for a total exposure time of 35 and 
32 min, respectively.

Consistent with the position of the NIR afterglow (Cenko et al., GCNs 
10682, 10690, 10692), we detected a source with g = 26 (AB) and I = 24.4 
(Vega). We consider this object to be the host galaxy of GRB 100424A.

A spectrum of this source was taken on 2013 March 11.3 UT with the ESO 
VLT equipped with the X-shooter spectrograph, covering the wavelength 
range 3000-25000 AA. The exposure time was 8x600 s. In the NIR arm, we 
detect four emission lines, that we interpret as [O III](4959), [O 
III](5007), Hbeta, and [O II](3727), all at a common redshift of z = 
2.465. In the UVB arm, we also detect weak Lyalpha in emission at the 
same redshift.

We acknowledge excellent support from the observing staff at Mauna Kea 
and Paranal, in particular Thomas Rivinius and Claudio Melo.",2.465,GRB 100424A,ESO VLT,Spectroscopic,2.465
14380,2013-04-18 22:49:12.000,"GRB 130418A: Redshift from 10.4m GTCA. de Ugarte Postigo (IAA-CSIC, DARK/NBI), C.C. Thoene (IAA-CSIC), 
J. Gorosabel (UPV/EHU, IAA-CSIC), R. Sanchez-Ramirez (IAA-CSIC), 
J. P. U. Fynbo (DARK/NBI), N. Tanvir (U. Leicester) and 
C.A. Alvarez Iglesias (IAC-ULL) report:

We have observed the afterglow of GRB 130418A (De Pasquale et al. GCN
14377) with the 10.4m GTC telescope starting at 21:45 UT (2.75 hr after the
burst). Observations consisted of 2x600s using the R1000B grating, with a 
resolution of R~1000 in the range 3600 - 7900 A.

The spectrum shows a high S/N trace, with very weak MgII features at a 
redshift of z = 1.218, which we identify as the redshift of the GRB.

[GCN OPS NOTE(19apr13):  Per author's request, CAAI's affiliation
was changed from GTC to IAC-ULL.]",1.218,GRB 130418A,10.4m GTC telescope,Spectroscopic,1.218
14390,2013-04-19 12:06:21.000,"GRB130418A: VLT/X-shooter redshift confirmationT. Kruehler, D. Xu (both DARK), R. Sanchez-Ramirez (IAA-CSIC),
D. Malesani, J. Fynbo (both DARK) and H. Flores (GEPI/Obs. de Paris)
report on behalf of a larger collaboration:

We observed the optical/NIR counterpart (e.g., De Pasquale et al. GCN
14377, Gorosabel et al. GCN 14378) of GRB 130418A (De Pasquale et al.
GCN 14377) with the VLT/X-shooter spectrograph.

Our spectra cover the wavelength range 3000-25000 AA, and were taken
starting on 2013 Apr 18, 23:35:08 UT (4.57 hr after the GRB) for a
total exposure of 20 min.

We identify absorption lines of CIV, FeII and MgII at a common redshift
of z = 1.217 (see also de Ugarte Postigo et al., GCN 14380). The
doublet of CIV (1548, 1550) is also detected in a second absorption
system at z = 1.218. No emission lines are evident in our spectrum.

We thank the VLT staff, in particular Henri Boffin, Dimitri Gadotti and
Alex Correa, for the expert support in obtaining these data.",z = 1.217,GRB130418A,VLT/X-shooter,Spectroscopic,1.217
14437,2013-04-22 18:33:44.000,"GRB 130420A: Redshift from 10.4m GTCA. de Ugarte Postigo (IAA-CSIC, DARK/NBI), N. Tanvir (U. Leicester), 
R. Sanchez-Ramirez (IAA-CSIC), C.C. Thoene (IAA-CSIC), 
J. Gorosabel (UPV/EHU, IAA-CSIC), and J. P. U. Fynbo (DARK/NBI) report:

We obtained spectroscopy of the afterglow of GRB 130420A (Page 
et al. GCN 14406) with the 10.4m GTC telescope on the 22nd April 2013,
starting at 03:42 UT (1.84 days after the burst). The observation consisted of 
4x900 s using the R500B grating, with a resolution of R~500 in the range 3600 
- 8700 A.

The spectrum shows an emission line that we identify as [OII] from the host 
and several absorption features that correspond to MgII, MgI, FeII and AlIII at
a common redshift of 1.297, which we identify as the redshift of the GRB.

We also note the presence of an unrelated nearby galaxy (at an angular 
separation of 2.5"") which shows emission lines of [OII], H-beta and [OIII] at a 
redshift of 0.584.

We acknowledge the excellent support of the GTC staff.",1.297,GRB 130420A,10.4m GTC telescope,Spectroscopic,1.297
14493,2013-04-28 18:13:02.000,"GRB 130427B: Tentative VLT/X-shooter redshiftH. Flores (GEPI/Obs. de Paris),  S. Covino (INAF),  A. de Ugarte
Postigo (IAA-CSIC, DARK/NBI), J. Fynbo, T. Kruehler, D. Xu (DARK/NBI)
and N. Tanvir (U. Leicester)  report on behalf of the X-Shooter GRB
collaboration:

We have observed the afterglow of the GRB 130427B (Maselli et al., GCN
14460) with the ESO VLT equipped with the X-shooter spectrograph. The
observation started on  2013-04-28 at 9:45 UT. A total exposure of
2x600 s was obtained just before morning twilight, covering the
spectral range from 300 to 2500 nm.

In the spectrum we detect a  feature consistent with a damped
Lyman-alpha line in the UVB arm at redshift of z=2.78 +/-  0.02. Given
the low S/N of the spectrum, this redshift measurement should be
considered tentative.

We thank the Paranal staff for enthusiastic support, in particular
Andrea Mehner and Christophe Martayan.",2.78 +/-  0.02,GRB 130427B,ESO VLT,Spectroscopic,2.78
14500,2013-04-29 11:32:33.000,"GRB 100728A: GROND host detection and X-shooter redshiftT. Kruehler (DARK), J. Greiner (MPE) and D. A. Kann (TLS) report:

We performed deep observations of the field of GRB 100728A
simultaneously in g'r'i'z'JHK with GROND (Greiner et al. 2008,
PASP 120, 405). GRB 100728A triggered Swift (Cannizzo et al.,
GCN 11004), GBM (von Kienlin, GCN 11006), Konus-Wind (Golenetskii
et al., GCN 11021) and Suzaku WAM (Tsai et al., GCN 11037).

Our late observations were performed on 2010-11-10, 105 days
after the trigger, and consisted of dithered images with a total of
4427 s exposure in g'r'i'z' and 3600 s in JHK under clear sky
conditions and a seeing of 0.8"".

Inside the enhanced X-ray error-circle
(http://www.swift.ac.uk/xrt_positions), we detect an extended
object with an r'-band AB magnitude of r' = 25.0 +/- 0.2.

Its barycentric coordinates are:

RA (J2000) = 05:55:01.98
Dec. (J2000) = -15:15:19.7

with uncertainties of 0.3"" in each coordinate.
Registering the early afterglow images (Olivares et al., GCN 11020)
against the late host frame, we derive an offset between galaxy
center and afterglow of approximately 0.4"".

A spectrum of this galaxy was taken on 2012-11-15 with the ESO VLT
UT2 equipped with the X-shooter spectrograph, covering the
wavelength range 3000-25000 AA. The seeing was 1.2"" and the
total exposure of our spectrum was 2400 s. In the VIS and NIR arm,
we detect emission lines, which we interpret as being due to
[O II](3729) and Halpha at a common redshift of z = 1.567.

The bright X-ray emission (Evans et al., GCN 11014), coupled with the
faint and red optical/NIR afterglow (Olivares et al., GCN 11020) is
characteristic of dust-extinguished events. Fitting the available
afterglow data with synchrotron models, the visual extinction along
the GRB sightline is constrained to 1.5 mag < A_V < 3 mag at z = 1.567.",z = 1.567,GRB 100728A,ESO VLT UT2,Spectroscopic,1.567
14567,2013-05-05 10:30:19.000,"GRB 130505A - Gemini-N/GMOS redshift determinationN. R. Tanvir (U. Leicester), A. J. Levan (U. Warwick), T. Matulonis
and A. B. Smith (Gemini) report on behalf of a larger collaboration:

We observed the afterglow of GRB 130505A (Cannizzo et al. GCN 14563)
with the GMOS-N spectrograph on Gemini-N, beginning approximately 60 min
after the BAT trigger.

In our provisional reduction we detect numerous absorption lines, including
Lyman alpha, SiII/SiII*1260, SiII*1264, OI1302, SiII/OI*1304, SiII*1309,
CII/CII* 1334/1335, SiIV1394/1403, SiII 1527, SiII* 1533, CIV 1548/1551,
FeII 1608, AlII 1671 and AlIII 1855/1863 at a common redshift of z=2.27.

The presence of fine structure lines, in particular, confirms this to be the
redshift of this burst.",z=2.27,GRB 130505A,GMOS-N spectrograph on Gemini-N,Spectroscopic,2.27
14621,2013-05-11 13:17:16.000,"GRB 130511A: Gemini-North RedshiftA. Cucchiara (UCSC) and N. R. Tanvir (U. Leicester) 
report on behalf of a larger collaboration:

On May 11.511 UT (~45 minutes after the Swift trigger)
we observed the optical counterpart of GRB 130511A
(Krimm et al. GCN 14620) with the GMOS spectrograph
mounted on the Gemini-North telescope.

The observation consists of 2x900s exposures
using the B600 grating and covers the 5100-7900
Angstroms wavelength range.

The resulting spectrum presents several absorption lines, 
including FeII(2344,2382,2374,2600), FeII*(2338,2349), 
FeI2463, MnII(25762594), MgII doublet (2796,2803A), and 
MgI2853 at the common redshift of z=1.3033.

We therefore propose this as the redshift of GRB 130511A.

We thank the Gemini staff for performing this
observation, in particular Tom Geballe.",z=1.3033,GRB 130511A,Gemini-North telescope,Spectroscopic,1.3033
14634,2013-05-14 08:40:11.000,"GRB 130514A: GROND optical-NIR afterglow discovery and photo-zS. Schmidl, D. A. Kann (both TLS Tautenburg) and J. Greiner (MPE Garching)
report on behalf of the GROND team:

We observed the field GRB 130514A (Swift trigger 555821; E. Sonbas et al.,
GCN 14632) simultaneously in g'r'i'z'JHKs with GROND (Greiner et al. 2008,
PASP 120, 405) mounted at the 2.2 m MPG/ESO telescope at La Silla
Observatory (Chile).

Observations started at 07:15:31 UT on May 14th, 2 minutes after the SWIFT
BAT trigger. They were performed at an average seeing of 1"" and at an
average airmass of 1.18.

Inside the 2"".6 refined XRT error circle, we detect a source not visible
in the DSS or SDSS in all 7 bands. The GROND position for this source is:

RA (J2000)   =  19:45:07.90
Dec.(J2000)  = -07:58:34.4

with an uncertainty of 0"".3.

Based on the first  4 min of total exposure we estimate preliminary
magnitudes (all in AB system) of

g' =  22.17 +- 0.09,
r' =  19.98 +- 0.01,
i' =  19.18 +- 0.02,
J  =  17.87 +- 0.03,
H  =  17.26 +- 0.03 and
K  =  16.81 +- 0.03

We propose this source to be the afterglow of GRB 130514A. Additional
evidence is the power-law shape of the SED.

The source shows a strong g'-band dropout, we derive a photometric
redshift of z = 3.6 +/- 0.2, with an additional small line-of-sight
extinction by SMC dust.

Given magnitudes are calibrated against SDSS as well as 2MASS field stars
and are not corrected for the expected Galactic foreground extinction
corresponding to a reddening of E_(B-V)=0.23 mag in the direction of the
burst (Schlegel et al. 1998).",3.6 +/- 0.2,GRB 130514A,MPG/ESO 2.2m Telescope at La Silla Observatory (Chile),Photometric,3.6
